expected response
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
11111111 -------- strt
01000000 -------- idle cmd
00000000 -------- idle arg
00000000 -------- idle arg
00000000 -------- idle arg
00000000 -------- idle arg
10010101 -------- idle crc
11111111 11111111
11111111 00000001 rsp: idle
01000001 -------- init cmd
00000000 -------- init arg
00000000 -------- init arg
00000000 -------- init arg
00000000 -------- init arg
10010101 -------- init crc
11111111 00000001 rsp: idle
01000001 -------- init cmd
00000000 -------- init arg
00000000 -------- init arg
00000000 -------- init arg
00000000 -------- init arg
10010101 -------- init crc
11111111 00000000 rsp: ok
01010000 -------- bsiz cmd
00000000 -------- bsiz arg
00000000 -------- bsiz arg
00000010 -------- bsiz arg (512)
00000000 -------- bsiz arg (512)
10010101 11111111 bsiz crc
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 00000000 rsp: ok
01010001 -------- read cmd
00000000 -------- read arg
00000000 -------- read arg
11010100 -------- read arg (addr + pad)
00000000 -------- read arg (pad)
10010101 -------- read crc
11111111 00000000 rsp: ok
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111111
11111111 11111110 data token
11111111 00000000 data
11111111 00000001 512
11111111 00000010 byte
11111111 00000100 .
11111111 00001000 .
11111111 00010000 .
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
11111111 01000000
11111111 10000000
11111111 11111111
11111111 00000000
11111111 00000001
11111111 00000010
11111111 00000100
11111111 00001000
11111111 00010000
11111111 00100000
